province;red;green;blue;x;x
876;102;52;255;Yuryev;x
877;33;112;32;Runing;x
878;102;56;64;Kolomna;x
879;102;60;192;Elets;x
880;216;219;155;North Brazil Current;x
881;230;62;255;Pronsk;x
882;160;106;79;Huai'an;x
883;32;100;126;Kaifeng;x
884;171;177;95;South Sandwich Islands;x
885;85;30;115;East Of Magellans;x
886;55;145;94;Central South Atlantic;x
887;55;73;145;Trindade Island;x
888;229;42;255;Uglich;x
889;228;154;64;Ladoga;x
890;100;156;128;Olonets;x
891;236;227;74;Strait Of Belle Isle;x
892;163;65;48;Bay Of Fundy;x
893;63;106;87;Gulf Of St. Lawrence;x
894;103;68;128;Vladimir;x
895;231;70;192;Gorokhovets;x
896;231;66;64;Meshera;x
897;102;64;0;Ryazan;x
898;84;143;188;Eastern South Atlantic Current;x
899;230;58;128;Tula;x
900;32;96;32;Nanyang;x
901;159;94;173;Shaanxi;x
902;31;92;126;Hanzhong;x
903;52;124;81;Magellan Strait;x
904;103;72;255;Murom;x
905;159;86;173;Yumen;x
906;161;110;173;Fuyang;x
907;98;203;92;Gulf Of Panama;x
908;213;209;83;Bay Of Costa Rica;x
909;133;243;114;Coast Of Ecuador;x
910;248;241;109;Guayaguil Bay;x
911;32;104;32;Xuzhou;x
912;107;150;29;Arica Gulf;x
913;145;131;34;Arequipa Bay;x
914;217;215;140;Coast Of Peru;x
915;121;184;198;Atacama Coast;x
916;78;171;50;Coast Of Chile;x
917;159;90;79;Tianshui;x
918;125;83;51;South Chilean Coast;x
919;158;70;173;Taiyuan;x
920;106;125;62;Coast Of Brazil;x
921;31;84;126;Baiyin;x
922;148;226;166;Guyana Coast;x
923;158;78;173;Guyuan;x
924;225;242;132;Turks & Caicos Sea;x
925;69;202;66;Eastern Caribbean;x
926;30;76;126;Pingliang;x
927;30;80;32;Lanzhou;x
928;210;164;190;Coast Of Cuba;x
929;216;167;158;Coast Of Hispaniola;x
930;75;86;112;Bay Of Belem;x
931;16;143;171;Amazonas Gulf;x
932;225;213;60;Coast Of Recife;x
933;29;64;32;Daming;x
934;157;58;79;Laizhou;x
935;62;223;90;Coast Of Pernambuc;x
936;30;68;126;Lu'an;x
937;207;217;91;Baia Parangua;x
938;225;138;60;Todos Santos Bay;x
939;40;61;244;Rio De Janeiro;x
940;157;54;173;Wuding;x
941;129;133;44;Bahia Blanca;x
942;209;214;131;Coast Of Patagonia;x
943;149;28;79;Rio De La Plata;x
944;28;48;32;Ningwu;x
945;28;44;126;Xuanhua;x
946;210;34;79;Barotse;x
947;156;42;79;Chengde;x
948;81;152;32;Moxico;x
949;27;32;32;Gyeongsang;x
950;155;158;173;Gyeongju;x
951;27;156;126;Gangneung;x
952;55;64;98;Rapanui;x
953;32;134;145;Tahiti;x
954;155;34;79;Chungcheong;x
955;35;234;126;Yangzhou;x
956;81;144;32;Kasanje;x
957;45;34;233;Phra Bang;x
958;200;43;34;Jamaica Channel;x
959;80;132;126;Kakongo;x
960;145;136;32;Khorat;x
961;155;38;173;Jeju;x
962;27;36;126;Jeolla;x
963;255;34;233;Pariaman;x
964;80;136;32;Vungu;x
965;80;128;32;Ezorogondo;x
966;155;154;79;Gangwon;x
967;28;40;32;Beijing;x
968;26;148;126;Pyongan;x
969;57;45;79;Prek Russey;x
970;155;4;79;Nakhon Thung Yai;x
971;207;122;79;São Tomé;x
972;154;150;173;Hwanghae;x
973;154;146;255;Kratie;x
974;207;118;173;Otcho;x
975;56;46;23;Ngchow;x
976;26;144;32;Hamgyeong;x
977;154;146;79;Nyongbyon;x
978;78;108;126;Sierra Coast;x
979;34;66;135;Nanjing;x
980;4;146;255;Gulf Of Darien;x
981;154;142;173;Kyongsong;x
982;205;98;79;Baol;x
983;241;66;53;Shangqiu;x
984;77;96;32;Sine Saloum;x
985;54;214;67;Zhoujiakou;x
986;234;136;32;Liangzhou;x
987;145;34;32;Luzhou;x
988;25;132;126;Liaodong;x
989;25;136;32;Gaizhou;x
990;238;214;255;Yan'an;x
991;205;94;173;Jolof;x
992;238;214;67;Taozhou;x
993;153;138;79;Andong;x
994;156;46;173;Datong;x
995;232;82;255;Vologda;x
996;210;158;173;Mbwele;x
997;78;190;179;Windward Islands;x
998;114;196;40;Belize Bay;x
999;232;86;64;Soligalich;x
1000;162;203;65;Lesser Antilles;x
1001;126;157;231;Yucatan Sea;x
1002;119;219;199;Coast Of Florida;x
1003;104;84;0;Kostroma;x
1004;90;230;87;Sea Of Sargassos;x
1005;104;80;192;Yaroslavl;x
1006;231;78;128;Suzdal;x
1007;51;124;159;Northern Atlantic;x
1008;231;74;0;Nizhny Novgorod;x
1009;39;176;36;Florida Straits;x
1010;179;39;32;Massachusetts Bay;x
1011;206;204;132;Coast Of Carolina;x
1012;103;76;64;Starodub;x
1013;100;32;255;Kola;x
1014;171;12;23;Chesapeake Bay;x
1015;43;82;125;Cape Hatteras;x
1016;233;236;121;Yucatan Channel;x
1017;64;170;131;Tampico Bay;x
1018;104;88;128;Galich;x
1019;24;151;188;Galveston Bay;x
1020;81;148;126;Kuba;x
1021;232;90;192;Vetluga;x
1022;153;134;173;Ustyug;x
1023;104;92;255;Viatka;x
1024;152;61;63;Mobile Bay;x
1025;185;28;126;Apalachee Bay;x
1026;105;96;64;Totma;x
1027;233;94;0;Liaoxi;x
1028;233;98;128;Kholmogory;x
1029;231;126;148;Gulf Of Mexico;x
1030;205;90;79;Tekrur;x
1031;228;158;192;Vienan Karjala;x
1032;172;166;38;Cabot Strait;x
1033;227;146;128;Zubtsov;x
1034;206;43;116;Denmark Strait;x
1035;99;144;64;Mozhaisk;x
1036;227;142;0;Upper Oka;x
1037;19;230;56;Western Coast Of Greenland;x
1038;98;132;0;Smolensk;x
1039;225;69;23;Labrador Strait;x
1040;226;134;64;Bryansk;x
1041;32;227;115;Coast Of Morocco;x
1042;240;227;134;Jan Mayen Sea;x
1043;98;136;128;Trubetsk;x
1044;204;21;35;Coast Of Iceland;x
1045;227;138;192;Mezhetsk;x
1046;99;140;255;Vyazma;x
1047;226;200;50;Eastern Hudson Bay;x
1048;28;28;183;Foxe Basin;x
1049;99;148;192;Torzhok;x
1050;227;150;255;Bezhetsk;x
1051;168;162;32;North Benguela Current;x
1052;101;40;192;Mologa;x
1053;229;38;128;Beloozero;x
1054;89;221;113;Labrador Sea;x
1055;135;33;33;Fortune Bay;x
1056;226;130;255;Dorogobuzh;x
1057;100;152;0;Ustyuzhna;x
1058;208;130;79;Loango;x
1059;226;126;128;Toropets;x
1060;98;128;192;Rzhev;x
1061;233;27;32;Mauretanian Coast;x
1062;57;49;210;Canarian Sea;x
1063;67;117;192;Coast Of Guinea;x
1064;197;63;77;Gold Coast;x
1065;48;142;211;Coast Of Gambia;x
1066;203;159;56;Ivory Coast;x
1067;225;122;0;Neva;x
1068;78;100;126;Cayor;x
1069;208;134;173;Anzico;x
1070;98;124;64;Novgorod;x
1071;97;116;128;Kholm;x
1072;145;243;131;Spitzberg Sea;x
1073;29;197;71;Icelandic Sea;x
1074;225;114;64;Velikiye Luki;x
1075;97;112;0;Pskov;x
1076;136;91;185;Western Hudson Bay;x
1077;200;215;96;Notre Dame Bay;x
1078;225;110;255;Ostrov;x
1079;96;96;128;Navahradak;x
1080;223;94;64;Pinsk;x
1081;225;118;192;Staraya Russa;x
1082;247;62;99;Cape Of Good Hope;x
1083;163;129;58;Coast Of Ciskei;x
1084;38;98;187;Coast Of Cameroon;x
1085;199;172;109;Gulf Of Kongo;x
1086;134;213;96;Coast Of Namibia;x
1087;244;64;68;Coast Of Angola;x
1088;97;120;255;Inkeri;x
1089;206;102;173;Arguin;x
1090;44;216;48;Gulf Of Nigeria;x
1091;206;106;79;Guinea;x
1092;223;90;255;Homiel;x
1093;159;9;9;James Bay;x
1094;223;193;26;Baffin Bay;x
1095;105;100;192;Arkhangelsk;x
1096;79;116;126;Kameroun;x
1097;202;19;19;Coast Of Transkei;x
1098;36;159;185;Coast Of Natal;x
1099;79;124;126;St. Helena;x
1100;95;92;0;Turau;x
1101;207;231;39;The Seychelles;x
1102;132;192;78;Eastern Arabian Sea;x
1103;73;14;3;Coast Of Tamatave;x
1104;19;61;202;The Mascareignes;x
1105;191;30;30;Gulf Of Zambeze;x
1106;224;98;192;Slutsk;x
1107;203;67;124;Western Arabian Sea;x
1108;96;100;255;Mensk;x
1109;224;102;0;Mstislavl;x
1110;72;198;182;Diego Suarez Bay;x
1111;69;143;56;Cook Strait;x
1112;222;74;64;Podolia;x
1113;80;34;200;Shark Bay;x
1114;94;76;128;Halych;x
1115;222;78;192;Lvov;x
1116;94;80;255;Belz;x
1117;55;131;215;Mozambique Channel;x
1118;208;138;79;Mbanza Kongo;x
1119;223;86;128;Volodymyr;x
1120;95;88;192;Zhytomyr;x
1121;223;82;0;Kremenets;x
1122;211;220;56;Sea Of Antarctica;x
1123;179;61;21;Coast Of New Zealand;x
1124;95;84;64;Chelm;x
1125;219;215;51;Zanzibar Strait;x
1126;49;151;56;Three Kings Islands;x
1127;140;142;57;Northern Tasman Sea;x
1128;88;112;64;Alanya;x
1129;100;167;200;Luzon Strait;x
1130;215;106;192;Safranbolu;x
1131;234;197;108;Southern Tasman Sea;x
1132;87;100;0;Göynük;x
1133;26;140;126;Yukjin;x
1134;205;201;37;Soya Strait;x
1135;26;152;32;Gyeonggi;x
1136;214;94;128;Hamid;x
1137;65;184;58;Amakusa Sea;x
1138;86;92;64;Tekke;x
1139;174;162;68;Tsugaru Strait;x
1140;86;96;192;Karahisar;x
1141;52;103;197;Coast Of Kamchatka;x
1142;215;98;255;Anatolikon;x
1143;78;104;32;Cape Verde;x
1144;64;50;192;Seto Inland Sea;x
1145;214;90;0;Ladik;x
1146;189;196;104;Paracel Islands;x
1147;158;209;90;Ryukyu Islands;x
1148;171;71;171;Tokai Sea;x
1149;86;88;255;Germiyan;x
1150;196;51;47;Yamato Basin;x
1151;214;86;192;Eskisehir;x
1152;85;80;0;Saruhan;x
1153;87;104;128;Paphlagonia;x
1154;40;208;116;Bay Of Ayan;x
1155;213;36;36;Amur Estuary;x
1156;199;191;50;Tatar Straits;x
1157;213;82;64;Karesi;x
1158;212;58;255;Limnos;x
1159;211;54;128;Thrace;x
1160;86;84;128;Bithynia;x
1161;205;78;39;Sudan;x
1162;27;139;139;Coast Of Olga;x
1163;190;174;58;Bay Of Komenskoie;x
1164;77;184;65;Okhotsk Sea;x
1165;11;129;168;Coast Of Sakhalin;x
1166;215;102;64;Optimaton;x
1167;209;146;79;Matamba;x
1168;87;108;255;Ankara;x
1169;215;110;0;Beysehir;x
1170;119;108;47;North Korean Sea;x
1171;16;13;80;Sierra Leone;x
1172;209;186;24;Northwest Cape;x
1173;94;72;0;Bratslav;x
1174;211;46;192;Macedonia;x
1175;133;33;35;Korea Bay;x
1176;84;56;192;Constantinople;x
1177;36;138;41;Yellow Sea;x
1178;83;44;128;Kastoria;x
1179;171;174;43;Cam Ranh Bay;x
1180;205;29;73;Cape Leuwiin;x
1181;207;163;27;King Sound;x
1182;217;79;203;Mekong Delta;x
1183;160;80;56;South China Sea;x
1184;209;154;192;Aetolia;x
1185;100;155;196;Coast Of Sarawak;x
1186;82;40;0;Euboea;x
1187;189;223;85;Coast Of Brunei;x
1188;211;42;64;Thessaly;x
1189;83;48;255;Serres;x
1190;211;50;0;Komotini;x
1191;84;17;136;Sahara;x
1192;80;218;228;Coast Of Annam;x
1193;210;38;255;Attica;x
1194;222;166;82;Gulf Of Tonkin;x
1195;77;88;32;Fuuta Tooro;x
1196;83;52;64;Gallipoli;x
1197;84;60;0;Troas;x
1198;57;129;37;South Korean Sea;x
1199;84;64;128;Chios;x
1200;212;62;64;Lesbos;x
1201;97;203;139;Coast Of Luzon;x
1202;187;169;113;Gulf Of Leyte;x
1203;225;74;79;Manila Bay;x
1204;73;194;101;Celtic Sea;x
1205;212;66;192;Thakesion;x
1206;181;207;27;Great Australian Bight;x
1207;84;68;255;Neokastra;x
1208;213;70;0;Mylasa;x
1209;213;78;255;Aydin;x
1210;230;211;111;Alamance;x
1211;85;76;192;Tavas;x
1212;177;173;90;Chikugo;x
1213;85;72;64;Rhodes;x
1214;213;74;128;Melanoudion;x
1215;213;13;13;Southern Amazonas;x
1216;153;169;41;Chagos Archipelago;x
1217;222;70;255;Kiev;x
1218;47;164;50;Western Equatorial Counter Current;x
1219;70;114;140;Equatorial Counter Current;x
1220;43;157;80;South Atlantic Raging Fifties;x
1221;48;87;152;South Atlantic;x
1222;82;156;255;Achaea;x
1223;216;114;128;Seleucia;x
1224;73;139;71;South Atlantic Roaring Forties;x
1225;47;102;164;Gulf Of Bengal;x
1226;158;146;52;Cape Of Storms;x
1227;88;116;192;Cyprus;x
1228;216;118;255;Karaman;x
1229;183;47;28;Northern Bay Of Bengal;x
1230;75;159;51;Southern Bay Of Bengal;x
1231;159;154;51;Coast Of Maldives;x
1232;88;120;0;Konya;x
1233;83;151;60;Ceylon Sea;x
1234;77;91;196;North Pacific Drift;x
1235;36;99;174;Mascarene Plateau;x
1236;216;122;64;Kapadokya;x
1237;88;124;128;Kanghari;x
1238;217;126;192;Kastamonu;x
1239;89;128;255;Sinope;x
1240;119;131;80;Central Indian Ocean;x
1241;90;140;0;Elbistan;x
1242;91;124;86;Eastern Equatorial Counter Current;x
1243;217;130;0;Sampsunda;x
1244;7;203;22;Ninetyeast Ridge;x
1245;89;132;64;Amasya;x
1246;159;167;20;Cocos Islands;x
1247;217;138;255;Anavarza;x
1248;89;136;192;Cilicia;x
1249;67;159;28;Marion Island;x
1250;63;121;124;Natal Basin;x
1251;217;134;128;Kayseri;x
1252;218;142;64;Sivas;x
1253;200;226;92;Taolagnaro Bay;x
1254;90;144;128;Kerasous;x
1255;90;148;255;Rizounta;x
1256;218;146;192;Tireboli;x
1257;218;150;0;Erzincan;x
1258;148;205;114;Crozet Islands;x
1259;172;147;148;Indian Ocean Raging Fifties;x
1260;163;158;69;South Australian Basin;x
1261;19;116;121;Wallaby Plateau;x
1262;103;98;37;East Indian Ocean;x
1263;185;70;173;Palembang;x
1264;43;64;98;West Australian Current;x
1265;39;101;61;Southern West Australian Current;x
1266;153;150;79;Southeastern Indian Ridge;x
1267;80;141;152;St Paul And Amsterdam Islands;x
1268;57;174;78;Southwestern Indian Ridge;x
1269;186;86;173;Mataram;x
1270;220;46;128;Crimea;x
1271;92;44;64;Or Qapi;x
1272;220;42;0;Kherson;x
1273;92;52;0;Zaporozhia;x
1274;92;48;192;Donets;x
1275;220;50;255;Oskol;x
1276;196;115;204;South Indian Ocean;x
1277;92;40;255;Kyzyl-Yar;x
1278;111;208;152;Heard And Mcdonald Islands;x
1279;207;188;112;Kerguelen Islands;x
1280;219;38;192;Azov;x
1281;91;36;128;Kuban;x
1282;196;181;123;Crozet Basin;x
1283;219;34;64;Anapa;x
1284;154;192;126;Madagascar Basin;x
1285;193;204;68;White Sea;x
1286;169;149;129;Lake Malawi;x
1287;84;120;214;Lake Tangayika;x
1288;91;156;192;Trebizond;x
1289;95;203;138;Lake Victoria;x
1290;219;158;255;Karin;x
1291;97;201;99;Northern West Australian Current;x
1292;193;167;104;West Australian Basin;x
1293;192;103;194;Eastern Indian Ocean South Equatorial Current;x
1294;91;32;0;Kaffa;x
1295;115;183;164;Indian Ocean South Equatorial Current;x
1296;72;106;225;Western Indian Ocean South Equatorial Current;x
1297;90;152;64;Sophene;x
1298;219;154;128;Ararat;x
1299;165;100;172;Lake Balchasj;x
1300;221;62;0;Kursk;x
1301;221;54;64;Dashev;x
1302;221;58;192;Cherkasy;x
1303;93;56;128;Hajibei;x
1304;103;130;169;Lake Bajkal;x
1305;175;201;71;Poyang Lake;x
1306;93;60;255;Poltava;x
1307;97;175;99;Lake Titicaca;x
1308;193;190;79;Lake Nicaragua;x
1309;93;64;64;Severia;x
1310;200;66;200;Lake Okeechobee;x
1311;96;51;215;Niger River;x
1312;94;68;192;Chernigov;x
1313;221;66;128;Pereyaslavl;x
1314;115;0;232;Quijos;x
1315;100;36;64;Kargopol;x
1316;159;67;40;South St Helena;x
1317;50;150;135;South Benguela Current;x
1318;21;189;34;Greenland Sea;x
1319;96;108;192;Polatsk;x
1320;98;75;124;Bouvet Island;x
1321;47;79;153;Eastern South Atlantic Current;x
1322;57;119;142;Tristan Da Cunha Islands;x
1323;71;129;75;South Atlantic Current;x
1324;228;34;0;Onega;x
1325;224;106;128;Vitsebsk;x
1326;66;159;155;New Georgia Islands;x
1327;96;104;64;Mahilyou;x
1328;196;204;38;Taiwan Strait;x
1329;210;218;78;Gulf Of Siam;x
1330;80;140;64;Vardar;x
1331;209;150;64;Epirus;x
1332;71;124;224;Straits Of Johor;x
1333;208;138;0;Melnik;x
1334;80;132;128;Burgas;x
1335;223;227;60;Straits Of Lombok;x
1336;74;202;213;The Moluccas;x
1337;99;197;116;Malayan Sea;x
1338;80;136;255;Plovdiv;x
1339;81;144;192;Durres;x
1340;101;226;69;Karimata Strait;x
1341;208;130;64;Varna;x
1342;208;134;192;Sliven;x
1343;176;149;55;Java Sea;x
1344;207;231;78;Coast Of Aceh;x
1345;87;221;107;Mergui Archipelago;x
1346;46;160;106;Ganges Delta;x
1347;75;119;233;Straits Of Malacca;x
1348;219;92;89;Nicobar Isles;x
1349;102;199;88;Coast Of Sumatra;x
1350;78;112;128;Kotor;x
1351;186;20;20;Coast Of Orissa;x
1352;21;194;12;Coast Of Coromandel;x
1353;206;102;128;Valjevo;x
1354;170;181;32;Comorin Cape;x
1355;187;57;26;Coast Of Malabar;x
1356;45;168;75;Laquedive Islands;x
1357;205;94;192;Soli;x
1358;77;92;128;Bosna;x
1359;84;57;208;Caspian Sea;x
1360;200;191;89;Red Sea;x
1361;183;158;83;Lake Balaton;x
1362;53;236;95;Gulf Of Suez;x
1363;221;214;68;Aral Sea;x
1364;205;86;255;Hum;x
1365;77;88;0;Doniji Kraji;x
1366;64;0;248;Society Islands;x
1367;76;84;192;Rama;x
1368;6;168;43;Bab El Mandeb;x
1369;68;68;164;Mascate Coast;x
1370;21;87;153;Gulf Of Aden;x
1371;67;107;68;Sea Of Oman;x
1372;62;184;48;Straits Of Hormuz;x
1373;187;184;45;Persian Gulf;x
1374;81;152;128;Corfu;x
1375;204;82;128;Ragusa;x
1376;204;78;0;Dalmatia;x
1377;59;92;126;Surabaya;x
1378;166;54;173;Chaochow;x
1379;76;76;255;Sisak;x
1380;26;214;20;Aegean Sea;x
1381;204;74;192;Zagreb;x
1382;104;131;103;Sea Of Marmara;x
1383;203;70;64;Istria;x
1384;196;98;55;Gulf Of Cyprus;x
1385;189;235;31;Eastern Black Sea;x
1386;186;158;48;Gulf Of Varna;x
1387;53;216;35;Bay Of Alexandria;x
1388;209;146;255;Albania;x
1389;28;101;223;Palestinian Coast;x
1390;75;68;0;Krain;x
1391;63;0;244;Kiribati;x
1392;185;191;60;Sea Of Crete;x
1393;203;66;255;Marburg;x
1394;202;222;63;Tyne;x
1395;77;96;255;Varazdin;x
1396;224;215;27;Gulf Of Tobruk;x
1397;63;121;228;Coast Of Makran;x
1398;157;150;55;Coast Of Gujarat;x
1399;159;220;48;Irish Sea;x
1400;187;198;242;Firth Of Forth;x
1401;205;98;0;Slavonija;x
1402;192;237;208;Cote D'Argent;x
1403;201;42;128;Heves;x
1404;100;199;86;Bay Of Biscay;x
1405;179;190;109;Quiberon Bay;x
1406;251;197;179;Coast Of Brittany;x
1407;125;89;23;Coast Of Shetlands;x
1408;206;110;64;Zeta;x
1409;78;108;0;Raska;x
1410;159;154;47;Akyab Bay;x
1411;223;213;85;Andaman Sea;x
1412;79;120;64;Vidin;x
1413;19;130;85;Trinidad;x
1414;56;146;165;St. Lucia;x
1415;207;126;255;Dobrogea;x
1416;105;104;0;Kazan;x
1417;187;154;38;Chipewyan;x
1418;190;224;217;Skagerrak;x
1419;77;215;201;Oswego;x
1420;162;215;168;Conoy;x
1421;97;206;85;Upshur;x
1422;17;89;15;Susquehanna;x
1423;222;228;148;Rappahannock;x
1424;202;50;64;Pest;x
1425;199;142;192;Baragan;x
1426;228;204;148;Allegheny;x
1427;239;139;137;Cayuga;x
1428;100;111;242;Micmac;x
1429;97;245;146;Bathurst;x
1430;75;64;192;Baranya;x
1431;203;58;0;Fejér;x
1432;183;43;43;Ardabil;x
1433;40;185;164;Moose Cree;x
1434;151;183;43;Swampy Cree;x
1435;202;46;255;Torontál;x
1436;73;146;218;Abnaki;x
1437;175;201;209;Massachusetts;x
1438;192;235;150;Kennebec;x
1439;215;26;26;Shenandoah;x
1440;139;181;214;Powhatan;x
1441;201;34;192;Temes;x
1442;157;235;105;Pamlico;x
1443;138;99;72;Cheraw;x
1444;200;146;0;Arges;x
1445;142;152;29;Erie;x
1446;225;128;30;Manhattan;x
1447;72;148;64;Oltenia;x
1448;210;207;174;Connecticut;x
1449;205;31;31;Kespek;x
1450;72;156;0;Kolozs;x
1451;32;162;223;Pocumtuk;x
1452;200;150;128;Szászföld;x
1453;187;23;81;Unami;x
1454;13;198;68;Mahican;x
1455;82;36;192;Cyclades;x
1456;33;87;177;Delaware;x
1457;175;116;35;Lenape;x
1458;96;208;99;Guangzhou Bay;x
1459;72;152;192;Székelyföld;x
1460;200;154;255;Beszterce;x
1461;105;104;73;Arsigantegok;x
1462;226;217;29;Labrador;x
1463;36;189;48;Woods Cree;x
1464;185;40;102;Nunavut;x
1465;62;159;69;Guadeloupe;x
1466;148;173;48;Dominica;x
1467;140;122;96;Skiftet;x
1468;207;118;0;Sofia;x
1469;189;181;17;Irrawady Delta;x
1470;160;61;61;Martinique;x
1471;207;122;128;Tarnovo;x
1472;218;215;69;Christmas Island;x
1473;63;224;91;Coast Of Java;x
1474;95;192;107;Coast Of Surabaya;x
1475;79;124;192;Silistria;x
1476;240;47;52;Timor Sea;x
1477;57;122;174;Straits Of Makassar;x
1478;55;215;64;Romanche Gap;x
1479;64;40;128;Zemaitija;x
1480;89;128;32;Atacama;x
1481;64;44;255;Trakai;x
1482;192;42;192;Kaunas;x
1483;63;152;255;Kurland;x
1484;211;84;52;Massac;x
1485;64;36;0;Vilnius;x
1486;126;30;234;Osage;x
1487;39;171;132;Buncombe;x
1488;192;38;64;Aukstaitija;x
1489;64;32;192;Wenden;x
1490;191;158;128;Riga;x
1491;216;198;124;Menominee;x
1492;192;34;255;Selburg;x
1493;210;34;128;Crete;x
1494;47;164;82;Harlan;x
1495;241;192;143;Onondaga;x
1496;106;95;116;Santee;x
1497;36;91;174;Horry;x
1498;103;124;31;Saluda;x
1499;131;134;21;Cherokee;x
1500;34;82;121;Kentucky;x
1501;27;31;199;South Michigan;x
1502;179;60;47;North Michigan;x
1503;63;156;64;Semigallia;x
1504;62;136;64;Pirkanmaa;x
1505;190;134;0;Satakunda;x
1506;62;132;255;Finland;x
1507;91;83;64;Chiaha;x
1508;189;126;64;Viipuri;x
1509;186;159;80;Fox;x
1510;61;128;128;Kymenlaakso;x
1511;147;57;159;Chitimacha;x
1512;185;157;2;Tonkawa;x
1513;186;27;190;Arkansas;x
1514;61;124;0;Käkisalmi;x
1515;112;89;44;Chacujal;x
1516;189;130;192;Uusimaa;x
1517;60;140;157;Natchitoches;x
1518;34;206;60;Missouri;x
1519;189;118;128;Länsipohja;x
1520;157;138;30;Nakota;x
1521;60;116;64;Roavenjárga;x
1522;185;55;32;Caddo;x
1523;61;120;192;Kainuu;x
1524;200;146;79;Oyo;x
1525;189;122;255;Pohjois-Karjala;x
1526;172;175;29;Waalo;x
1527;58;88;128;Ume Lappmark;x
1528;187;90;192;Västerbotten;x
1529;205;224;208;Sanuki;x
1530;183;223;45;Satsuma;x
1531;59;92;255;Lule Lappmark;x
1532;227;225;187;Timbuktu;x
1533;187;98;128;Viken;x
1534;52;116;64;Mongnai;x
1535;190;186;27;Osage;x
1536;116;141;27;Kachin;x
1537;91;55;113;Vientiane;x
1538;205;141;95;Hengyang;x
1539;188;106;64;Opplandene;x
1540;49;97;106;Iximche;x
1541;226;181;158;Pennacook;x
1542;106;128;176;Choco;x
1543;54;167;56;Namib;x
1544;66;60;128;Bresc;x
1545;211;42;79;Ankole;x
1546;36;54;96;Ohio;x
1547;86;105;27;Wyandot;x
1548;187;102;255;Agder;x
1549;60;104;0;Vestlandet;x
1550;12;21;116;Sao Gabriel;x
1551;48;143;50;Tanzania;x
1552;65;190;197;Antigua;x
1553;59;96;64;Åland;x
1554;59;100;192;Vestfold;x
1555;60;112;255;Hålogaland;x
1556;167;218;179;Mohawk;x
1557;58;76;64;Dalarna;x
1558;186;86;64;Ångermanland;x
1559;187;94;0;Norrbotten;x
1560;108;231;35;Illinois;x
1561;186;82;255;Medelpad;x
1562;58;84;0;Jämtland;x
1563;120;128;21;Awa;x
1564;219;185;230;Aki;x
1565;58;80;192;Hälsingland;x
1566;96;122;244;Harima;x
1567;175;115;242;Govi Altay;x
1568;184;50;192;Halland;x
1569;147;50;21;Zasagt;x
1570;208;218;18;Mukhtuya;x
1571;242;115;128;Ereen;x
1572;56;48;128;Skåne;x
1573;88;98;211;Echizen;x
1574;56;52;255;Blekinge;x
1575;125;148;73;Mutsu;x
1576;184;54;0;Småland;x
1577;56;56;64;Öland;x
1578;164;147;136;Ise;x
1579;184;58;128;Gotland;x
1580;57;72;255;Uppland;x
1581;56;60;192;Östergötland;x
1582;185;70;192;Södermanland;x
1583;185;62;255;Västergötland;x
1584;57;64;0;Bohuslän;x
1585;218;221;87;Shiribeshi;x
1586;150;228;112;Kamchatka;x
1587;185;66;64;Värmland;x
1588;57;68;128;Närke;x
1589;146;194;148;Penzhina;x
1590;183;42;255;Lolland;x
1591;55;40;192;Fyn;x
1592;183;38;128;Vendsyssel;x
1593;55;44;0;Sjælland;x
1594;133;190;207;Gizhica;x
1595;183;46;64;Bornholm;x
1596;112;96;125;Karalveyem;x
1597;55;36;64;Nordjylland;x
1598;53;189;183;Yang Tse Delta;x
1599;247;98;94;Sakha;x
1600;183;34;0;Midtjylland;x
1601;187;224;58;Ude;x
1602;138;106;234;Okhotsk;x
1603;54;32;255;Nordslesvig;x
1604;72;149;116;Nikhtui;x
1605;182;158;192;Slesvig;x
1606;223;147;96;Qakilik;x
1607;54;152;0;Lauenburg;x
1608;182;154;64;Lübeck;x
1609;210;38;173;Kazembe;x
1610;52;120;255;Kolberg;x
1611;182;150;255;Hamburg;x
1612;82;40;32;Burundi;x
1613;54;156;128;Holstein;x
1614;185;74;0;Bergslagen;x
1615;60;236;40;Pelagonia;x
1616;82;156;126;Ciluba;x
1617;54;148;192;Bremen-Verden;x
1618;56;113;131;Atakapa;x
1619;181;146;128;Bremen;x
1620;219;175;43;St. Barthélemy;x
1621;78;220;41;St. Kitts;x
1622;186;78;128;Falun;x
1623;180;122;0;Stolp;x
1624;179;118;192;Stargard;x
1625;43;169;18;Sukthothai;x
1626;51;112;0;Neumark;x
1627;201;48;48;Phayao;x
1628;36;198;40;Chiang Rai;x
1629;231;98;39;Keng Tung;x
1630;220;214;46;Chiang Mai;x
1631;179;110;255;Sternberg;x
1632;165;32;177;Phitsanulok;x
1633;30;22;188;Chaiyaphum;x
1634;51;116;128;Stettin;x
1635;51;108;192;Brandenburg;x
1636;199;81;210;Ayutthaya;x
1637;50;104;64;Altmark;x
1638;158;89;20;Horn Of Africa;x
1639;145;34;81;Bering Sea;x
1640;178;102;0;Magdeburg;x
1641;198;40;73;Battambang;x
1642;61;118;86;Bay Of Oljut;x
1643;178;98;192;Niederlausitz;x
1644;37;141;45;Bay Of Uka;x
1645;141;224;116;Siling Lake;x
1646;50;96;128;Lausitz;x
1647;141;129;37;Kuril Islands;x
1648;176;74;64;Osnabrück;x
1649;244;240;66;Northern Philippine Sea;x
1650;207;52;158;Udong;x
1651;28;145;13;Teuk Khmao;x
